period,xDomainNumb,label,labelShort,labelVeryShort
1991-06-30,1991,1991,1991,91
1991-06-30/P5Y,1991,1991-96,91-96,96
1992-06-30,1992,1992,1992,92
1992-06-30/P5Y,1992,1992-97,92-97,97
1993-06-30,1993,1993,1993,93
1993-06-30/P5Y,1993,1993-98,93-98,98
1994-06-30,1994,1994,1994,94
1994-06-30/P5Y,1994,1994-99,94-99,99
1995-06-30,1995,1995,1995,95
1995-06-30/P5Y,1995,1995-00,95-00,00
1996-06-30,1996,1996,1996,96
1996-06-30/P5Y,1996,1996-01,96-01,01
1997-01-01/P1Y,1997,1997,1997,97
1997-06-30,1997,1997,1997,97
1997-06-30/P5Y,1997,1997-02,97-02,02
1998,1998,1998,1998,98
1998-01-01/P1Y,1998,1998,1998,98
1998-06-30,1998,1998,1998,98
1998-06-30/P5Y,1998,1998-03,98-03,03
1999,1999,1999,1999,99
1999-01-01/P1Y,1999,1999,1999,99
1999-06-30,1999,1999,1999,99
1999-06-30/P5Y,1999,1999-04,99-04,04
2000,2000,2000,2000,00
2000-01-01/P1Y,2000,2000,2000,00
2000-06-30,2000,2000,2000,00
2000-06-30/P5Y,2000,2000-05,00-05,05
2001,2000.92,Jan 2001,Jan 01,01
2001-01-01/P1Y,2001,2001,2001,01
2001-01-01/P3Y,2001,2001-03,01-03,03
2001-04-01/P1Y,2001,2001-02,01-02,02
2001-06-30,2001,2001,2001,01
2001-06-30/P5Y,2001,2001-06,01-06,06
2002,2002,2002,2002,02
2002-01-01/P1Y,2002,2002,2002,02
2002-01-01/P3Y,2002,2002-04,02-04,04
2002-04-01/P1Y,2002,2002-03,02-03,03
2002-06-30,2002,2002,2002,02
2002-06-30/P5Y,2002,2002-07,02-07,07
2003,2003,2003,2003,03
2003-01-01/P1Y,2003,2003,2003,03
2003-01-01/P3Y,2003,2003-05,03-05,05
2003-04-01/P1Y,2003,2003-04,03-04,04
2003-06-30,2003,2003,2003,03
2003-06-30/P5Y,2003,2003-08,03-08,08
2004,2004,2004,2004,04
2004-01-01/P1Y,2004,2004,2004,04
2004-01-01/P3Y,2004,2004-06,04-06,06
2004-04-01/P1Y,2004,2004-05,04-05,05
2004-06-30,2004,2004,2004,04
2004-06-30/P5Y,2004,2004-09,04-09,09
2005,2005,2005,2005,05
2005-01-01/P1Y,2005,2005,2005,05
2005-01-01/P3Y,2005,2005-07,05-07,07
2005-04-01/P1Y,2005,2005-06,05-06,06
2005-06-30,2005,2005,2005,05
2005-06-30/P5Y,2005,2005-10,05-10,10
2006,2006,2006,2006,06
2006-01-01/P1Y,2006,2006,2006,06
2006-01-01/P3Y,2006,2006-08,06-08,08
2006-04-01/P1Y,2006,2006-07,06-07,07
2006-06-30,2006,2006,2006,06
2006-06-30/P5Y,2006,2006-11,06-11,11
2006-08-01/P1Y,2006,2006-07,06-07,07
2007,2007,2007,2007,07
2007-01-01/P1Y,2007,2007,2007,07
2007-01-01/P3Y,2007,2007-09,07-09,09
2007-04-01/P1Y,2007,2007-08,07-08,08
2007-06-30,2007,2007,2007,07
2007-06-30/P5Y,2007,2007-12,07-12,12
2007-08-01/P1Y,2007,2007-08,07-08,08
2008,2008,2008,2008,08
2008-01-01/P1Y,2008,2008,2008,08
2008-01-01/P3Y,2008,2008-10,08-10,10
2008-04-01/P1Y,2008,2008-09,08-09,09
