code,geog_level,period,med,mad
average-travel-time-long-cycling,region,2014,11.3,0.8895599999999995
average-travel-time-long-cycling,region,2015,11,1.4826
average-travel-time-long-cycling,region,2016,11.3,1.3343399999999979
average-travel-time-long-cycling,region,2017,10.77429646,0.9585388842120003
average-travel-time-long-cycling,region,2019,10.37872704,0.9595375502286003
average-travel-time-long-cycling,lower,2014,10.70518436,2.438816262325801
average-travel-time-long-cycling,lower,2015,10.82643724,2.508698416139999
average-travel-time-long-cycling,lower,2016,10.95999271,2.421806213131199
average-travel-time-long-cycling,lower,2017,10.23609961,2.0289513618570005
average-travel-time-long-cycling,lower,2019,9.815505358,1.987963845554399
average-travel-time-long-cycling,upper,2014,9.857314774,1.8176435462975993
average-travel-time-long-cycling,upper,2015,9.845333509,1.8039800499924004
average-travel-time-long-cycling,upper,2016,10.00955033,1.835522195976001
average-travel-time-long-cycling,upper,2017,9.597776649,1.7948300017326
average-travel-time-long-cycling,upper,2019,9.182030997,1.6422241660649988
average-travel-time-long-driving,region,2014,8.6,0.29652000000000156
average-travel-time-long-driving,region,2015,8,1.4826
average-travel-time-long-driving,region,2016,8.7,0.29652000000000156
average-travel-time-long-driving,region,2017,8.453109389,0.35058791788859917
average-travel-time-long-driving,region,2019,7.806043283,0.3902126594057987
average-travel-time-long-driving,lower,2014,8.46178184,0.8581656321714006
average-travel-time-long-driving,lower,2015,8.359884361,0.9583408177476013
average-travel-time-long-driving,lower,2016,8.647453107,0.8524307960069987
average-travel-time-long-driving,lower,2017,8.370192799,0.7119119368997995
average-travel-time-long-driving,lower,2019,7.612229467,0.7251422812368004
average-travel-time-long-driving,upper,2014,8.153504562,0.6470124532746002
average-travel-time-long-driving,upper,2015,8.015682066,0.7660183297410004
average-travel-time-long-driving,upper,2016,8.278226307,0.6302655804059982
average-travel-time-long-driving,upper,2017,8.125902402,0.620334292384799
average-travel-time-long-driving,upper,2019,7.431237616,0.6032612667900004
average-travel-time-long-public transport or walking,region,2014,13.5,0.7413
average-travel-time-long-public transport or walking,region,2015,13.5,0.5930400000000005
average-travel-time-long-public transport or walking,region,2016,14.37,1.0081679999999995
average-travel-time-long-public transport or walking,region,2017,12.88341026,0.8487984482459985
average-travel-time-long-public transport or walking,region,2019,12.20302561,1.1030917763460002
average-travel-time-long-public transport or walking,lower,2014,12.74617108,3.3299004299819996
average-travel-time-long-public transport or walking,lower,2015,12.87907175,3.3800801685840014
average-travel-time-long-public transport or walking,lower,2016,13.43648229,3.3002746423499993
average-travel-time-long-public transport or walking,lower,2017,12.19889578,2.9788610470500014
average-travel-time-long-public transport or walking,lower,2019,11.39654467,2.9768445301727997
average-travel-time-long-public transport or walking,upper,2014,11.670565,2.873426139305401
average-travel-time-long-public transport or walking,upper,2015,11.48791904,2.8936909595538
average-travel-time-long-public transport or walking,upper,2016,12.20335265,2.8270859655359994
average-travel-time-long-public transport or walking,upper,2017,11.17021129,2.811466774536001
average-travel-time-long-public transport or walking,upper,2019,10.62245933,2.679067406946001
gigabit-capable-broadband,lower,2023,76.75,17.19816
gigabit-capable-broadband,upper,2023,84.3,10.526460000000013
4g-coverage,lower,2023,99.98,0.0296519999999941
4g-coverage,upper,2023,99.99,0.014826000000007585
additions-to-the-housing-stock,region,2022,9,1.4826
additions-to-the-housing-stock,lower,2022,9,5.9304
additions-to-the-housing-stock,upper,2022,8,4.4478
employment-rate-long-Employment Rate,country,2022,74.65,1.3343400000000083
employment-rate-long-Employment Rate,country,2017,73.44999999999999,2.0015100000000126
